direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad,precio_range,id,geometry,from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
"Av. Irarrázaval, 4200, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",570000.0,Gastos comunes aproximados $ 120.000,63 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 meses por Re/max Central,Excelente Departamento En Estupenda Ubicación,https://www.portalinmobiliario.com/MLC-1375498031-excelente-departamento-en-estupenda-ubicacion-_JM#position=7&search_layout=stack&type=item&tracking_id=4a57fae7-bace-4d44-932e-e643b3c85a0c,-33.4519863,-70.6309977,Santiago,"(500000.0, 1000000.0]",4691,POINT (-70.63099769999999 -33.4519863),4691,14995,26.0,"['H13', '506v']","['PA676', 'PA443']","['PA629', 'PA452']","[3.0, 12.5]",1.3,4.6,1.5,"[2.4, 2.4]",27.7,1
"Rosas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",630000.0,Gastos comunes aproximados $ 75.000,120 m² totales / 4 dormitorios / 2 baños,3,2023-06-13,Publicado hace 14 días por Houm,Departamento Rosas Id: 43258,https://www.portalinmobiliario.com/MLC-1389609057-departamento-rosas-id-43258-_JM#position=16&search_layout=stack&type=item&tracking_id=4a57fae7-bace-4d44-932e-e643b3c85a0c,-33.4359242,-70.660568,Santiago,"(500000.0, 1000000.0]",4697,POINT (-70.660568 -33.4359242),4697,14995,22.0,"['L2R', '506e']","['4', 'PA450']","['70', 'PA452']","[4.4, 2.6]",5.3,4.6,1.3,"[2.3, 2.3]",22.8,5
"Dieciocho 600 - 900, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",540000.0,Gastos comunes aproximados $ 80.000,61 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 9 días,Metro Toesca Mariposa,https://www.portalinmobiliario.com/MLC-1719932578-metro-toesca-mariposa-_JM#position=20&search_layout=stack&type=item&tracking_id=4a57fae7-bace-4d44-932e-e643b3c85a0c,-33.45384344848485,-70.65665988787879,Santiago,"(500000.0, 1000000.0]",4701,POINT (-70.65665988787879 -33.45384344848485),4701,14995,22.0,['509'],['PA31'],['PA452'],[9.5],5.6,4.6,0.0,[1.9],21.7,8
"Tarapacá 890, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",580000.0,Gastos comunes aproximados $ 100.000,56 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 meses,3d + 2b + 1 Estac + 1 Bod - Metro Universidad De Chile,https://www.portalinmobiliario.com/MLC-1702535598-3d-2b-1-estac-1-bod-metro-universidad-de-chile-_JM#position=37&search_layout=stack&type=item&tracking_id=4a57fae7-bace-4d44-932e-e643b3c85a0c,-33.4469174,-70.6482145,Santiago,"(500000.0, 1000000.0]",4711,POINT (-70.64821449999999 -33.4469174),4711,14995,26.0,"['206', '506v']","['PA92', 'PA447']","['PA95', 'PA452']","[4.8, 7.6]",4.8,4.6,2.9,"[2.0, 1.1]",27.8,1
"Porvenir 749, Santiago, Chile, San Diego, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 120.000,60 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 meses,"Lindo Departamento De 2 Habitaciones, Estac Y Bodega.",https://www.portalinmobiliario.com/MLC-1550793576-lindo-departamento-de-2-habitaciones-estac-y-bodega-_JM#position=39&search_layout=stack&type=item&tracking_id=4a57fae7-bace-4d44-932e-e643b3c85a0c,-33.4571676,-70.6446561,Santiago,"(500000.0, 1000000.0]",4712,POINT (-70.64465610000001 -33.4571676),4712,14995,19.0,['510'],['PA446'],['PA470'],[7.2],4.8,10.3,0.0,[4.0],26.2,1
"Avenida Santa Rosa 208, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 100.000,80 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 días,Santa Rosa / Curico,https://www.portalinmobiliario.com/MLC-1721194086-santa-rosa-curico-_JM#position=28&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.44656608367347,-70.6450007,Santiago,"(500000.0, 1000000.0]",4740,POINT (-70.6450007 -33.44656608367347),4740,14995,26.0,"['385', '125', '510']","['PA108', 'PA365', 'PA35']","['PA365', 'PA35', 'PA469']","[4.7, 4.9, 2.1]",0.9,11.2,0.0,"[1.5, 3.5, 1.4]",30.3,1
"Carmen 297, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",520000.0,Gastos comunes aproximados $ 120.000,69 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 22 días,"Se Arrienda Departamento En Calle Carmen, Santiago Centro",https://www.portalinmobiliario.com/MLC-1386573793-se-arrienda-departamento-en-calle-carmen-santiago-centro-_JM#position=30&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.44738531428571,-70.64253264285715,Santiago,"(500000.0, 1000000.0]",4741,POINT (-70.64253264285715 -33.44738531428571),4741,14995,26.0,"['204', '506']","['PA117', 'PA445']","['PA121', 'PA452']","[4.3, 9.3]",0.3,4.6,1.3,"[5.2, 1.6]",26.6,23
"Av. Independencia 2264, Santiago, Independencia, Región Metropolitana, Chile, Plaza Chacabuco, Independencia, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 130.000,73.25 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 8 meses,Arriendo Departamento 3 Dormitorios Parque Hipódromo ,https://www.portalinmobiliario.com/MLC-1390845993-arriendo-departamento-3-dormitorios-parque-hipodromo-_JM#position=33&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.4316918,-70.6528489,Santiago,"(500000.0, 1000000.0]",4742,POINT (-70.6528489 -33.4316918),4742,14995,23.0,"['L2R', '506v']","['12', 'PA450']","['70', 'PA452']","[6.8, 3.3]",3.6,4.6,1.3,"[1.5, 2.5]",23.5,11
"Fray Camilo Henríquez 600 - 900, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)",530000.0,,59 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 13 días,Lindo Apartamento En Santiago Centro,https://www.portalinmobiliario.com/MLC-1390117349-lindo-apartamento-en-santiago-centro-_JM#position=45&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.4535053,-70.6327129,Santiago,"(500000.0, 1000000.0]",4752,POINT (-70.6327129 -33.4535053),4752,14995,25.0,['506'],['PA443'],['PA452'],[11.6],6.3,4.6,0.0,[3.2],25.6,28
"Llano Subercaseaux 3359, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",560000.0,Gastos comunes aproximados $ 95.000,60 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 26 días,"Espectacular Depto 2d 2b Con Vista Despejada, Piso 14",https://www.portalinmobiliario.com/MLC-1679196194-espectacular-depto-2d-2b-con-vista-despejada-piso-14-_JM#position=46&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.48492604285715,-70.6504376,Santiago,"(500000.0, 1000000.0]",4753,POINT (-70.6504376 -33.48492604285715),4753,14995,23.0,"['L2R', '509']","['45', 'PA450']","['70', 'PA452']","[4.4, 3.3]",4.9,4.6,1.3,"[3.9, 1.6]",23.9,5
"Fernando Lazcano Sn, El Llano, San Miguel, RM (Metropolitana)",560000.0,,50 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 28 días,"Departamento 2 Piezas, 1 Baño. San Miguel",https://www.portalinmobiliario.com/MLC-1674427708-departamento-2-piezas-1-bano-san-miguel-_JM#position=47&search_layout=stack&type=item&tracking_id=e6ef090c-a8be-4139-9541-2293aeecb99f,-33.4843169,-70.6499204,Santiago,"(500000.0, 1000000.0]",4754,POINT (-70.6499204 -33.4843169),4754,14995,21.0,"['L2R', '509']","['45', 'PA450']","['70', 'PA452']","[4.4, 3.3]",3.3,4.6,1.3,"[1.3, 3.2]",21.4,6
"Tarapacá 1200 - 1500, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 120.000,75 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días,Paseo Bulnes Depto 3d+2b+terraza+logia+estac.+bodega,https://www.portalinmobiliario.com/MLC-1727658486-paseo-bulnes-depto-3d2bterrazalogiaestacbodega-_JM#position=29&search_layout=stack&type=item&tracking_id=6f43a16e-cf49-4a4b-a316-8573aa348d16,-33.4469174,-70.6482145,Santiago,"(500000.0, 1000000.0]",4770,POINT (-70.64821449999999 -33.4469174),4770,14995,26.0,"['214', '506v']","['PA654', 'PA449']","['PA57', 'PA452']","[7.7, 5.4]",2.2,4.6,1.2,"[1.0, 1.9]",24.0,1
"Crescente Errázuriz & San Eugenio, Ñuñoa, Chile, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",520000.0,Gastos comunes aproximados $ 70,50 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 1 día,Arriendo Depto. Nuevo 2d+1b+estac.  Metro Irarrazaval ,https://www.portalinmobiliario.com/MLC-1730053424-arriendo-depto-nuevo-2d1bestac-metro-irarrazaval-_JM#position=33&search_layout=stack&type=item&tracking_id=6f43a16e-cf49-4a4b-a316-8573aa348d16,-33.4572849,-70.6265537,Santiago,"(500000.0, 1000000.0]",4774,POINT (-70.6265537 -33.4572849),4774,14995,25.0,['506'],['PD564'],['PA452'],[13.4],6.0,4.6,0.0,[2.5],26.5,22
"Crescente Errázuriz & San Eugenio, Ñuñoa, Chile, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",530000.0,Gastos comunes aproximados $ 70.000,49 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 1 día,Arriendo Nuevo 2d+1b (estac.+bodega) Metro Irarrázaval,https://www.portalinmobiliario.com/MLC-1392544825-arriendo-nuevo-2d1b-estacbodega-metro-irarrazaval-_JM#position=46&search_layout=stack&type=item&tracking_id=6f43a16e-cf49-4a4b-a316-8573aa348d16,-33.4572849,-70.6265537,Santiago,"(500000.0, 1000000.0]",4782,POINT (-70.6265537 -33.4572849),4782,14995,25.0,['506'],['PD564'],['PA452'],[13.4],6.0,4.6,0.0,[3.1],27.0,18
"Morandé 580, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",530000.0,Gastos comunes aproximados $ 80.000,75 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 días,Arriendo 2 Dormitorio 2 Baño Amplia Terraza De 25 Mt2 ,https://www.portalinmobiliario.com/MLC-1391830709-arriendo-2-dormitorio-2-bano-amplia-terraza-de-25-mt2-_JM#position=5&search_layout=stack&type=item&tracking_id=5e968179-e20a-47ce-a896-bfa1c3a80cbf,-33.43680765306122,-70.65427710408163,Santiago,"(500000.0, 1000000.0]",4787,POINT (-70.65427710408163 -33.43680765306122),4787,14995,25.0,"['L5R', 'L2R', '507']","['75', '4', 'PA450']","['4', '70', 'PA322']","[1.3, 4.4, 3.6]",7.3,3.3,1.3,"[2.2, 1.4, 2.0]",26.7,1
"Almirante Latorre 1 - 300, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",620000.0,Gastos comunes aproximados $ 120.000,90 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 5 días,"Metro Republica - 3d,2b Est Y Bod",https://www.portalinmobiliario.com/MLC-1391917691-metro-republica-3d2b-est-y-bod-_JM#position=9&search_layout=stack&type=item&tracking_id=5e968179-e20a-47ce-a896-bfa1c3a80cbf,-33.451443,-70.6646959,Santiago,"(500000.0, 1000000.0]",4789,POINT (-70.6646959 -33.451443),4789,14995,12.0,[],[],[],[],,,0.0,[],13.4,25
"Almirante Latorre 1 - 300, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 120.000,90 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 días,"Amplio Deprtamento - 3d,2b, Est Y Bod - Metro Republica",https://www.portalinmobiliario.com/MLC-1729481846-amplio-deprtamento-3d2b-est-y-bod-metro-republica-_JM#position=35&search_layout=stack&type=item&tracking_id=5e968179-e20a-47ce-a896-bfa1c3a80cbf,-33.451443,-70.6646959,Santiago,"(500000.0, 1000000.0]",4801,POINT (-70.6646959 -33.451443),4801,14995,12.0,[],[],[],[],,,0.0,[],13.4,20
"Almirante Latorre 59, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",600000.0,,90 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 días,"Metro Republica - Amplio Deprtamento - 3d,2b, Est Y Bod",https://www.portalinmobiliario.com/MLC-1392536783-metro-republica-amplio-deprtamento-3d2b-est-y-bod-_JM#position=36&search_layout=stack&type=item&tracking_id=5e968179-e20a-47ce-a896-bfa1c3a80cbf,-33.44813685909091,-70.66495944545454,Santiago,"(500000.0, 1000000.0]",4802,POINT (-70.66495944545454 -33.44813685909091),4802,14995,14.0,['119'],['PA274'],['PA276'],[2.8],3.8,4.3,0.0,[1.5],12.4,5
"Manuel Montt, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 90.000,48 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 1 día por Easyprop,Departamento En Arriendo De 1 Dorm. En Ñuñoa,https://www.portalinmobiliario.com/MLC-1733476872-departamento-en-arriendo-de-1-dorm-en-nunoa-_JM#position=37&search_layout=stack&type=item&tracking_id=5e968179-e20a-47ce-a896-bfa1c3a80cbf,-33.4285686,-70.6196546,Santiago,"(500000.0, 1000000.0]",4803,POINT (-70.6196546 -33.4285686),4803,14995,26.0,"['L1', '119']","['57', 'PA273']","['83', 'PA276']","[9.9, 4.3]",0.9,4.3,5.8,"[2.8, 1.2]",29.3,1
"Arcangel 1200, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 117.000,54 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 días,Se Arrienda Depto 2d 2b 1estacionamiento 1bodega San Miguel,https://www.portalinmobiliario.com/MLC-1392573657-se-arrienda-depto-2d-2b-1estacionamiento-1bodega-san-miguel-_JM#position=14&search_layout=stack&type=item&tracking_id=8e4434d5-b0b8-42a8-aa88-cf8b71edfe41,-33.488634250000004,-70.65266589729815,Santiago,"(500000.0, 1000000.0]",4821,POINT (-70.65266589729815 -33.48863425),4821,14995,22.0,"['L2V', 'L2R', '507']","['90', '29', 'PA450']","['29', '70', 'PA322']","[2.3, 1.6, 3.6]",2.7,3.3,1.3,"[1.6, 1.1, 4.7]",22.2,22
"Metro Santa Ana, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 130.000,72 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días,Departamento Arriendo Santiago Centro 3d+2b+2e,https://www.portalinmobiliario.com/MLC-1725068692-departamento-arriendo-santiago-centro-3d432b432e-_JM#position=16&search_layout=stack&type=item&tracking_id=8e4434d5-b0b8-42a8-aa88-cf8b71edfe41,-33.4381389,-70.6591511,Santiago,"(500000.0, 1000000.0]",4823,POINT (-70.6591511 -33.4381389),4823,14995,22.0,"['L2R', '506v']","['4', 'PA450']","['70', 'PA452']","[4.4, 3.3]",5.1,4.6,1.3,"[2.9, 2.5]",24.1,3
"Crescente Errázuriz 1 - 300, Ñuñoa, Chile, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",560000.0,Gastos comunes aproximados $ 60.000,52 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 2 días por Polaris Propiedades,Nuñoa * Nuevo Para Estrenar!,https://www.portalinmobiliario.com/MLC-1729160842-nunoa-nuevo-para-estrenar-_JM#position=28&search_layout=stack&type=item&tracking_id=8e4434d5-b0b8-42a8-aa88-cf8b71edfe41,-33.4572237,-70.6259676,Santiago,"(500000.0, 1000000.0]",4829,POINT (-70.6259676 -33.4572237),4829,14995,26.0,['506e'],['PD564'],['PA452'],[12.0],6.9,4.6,0.0,[2.3],25.8,17
"Rivas, El Llano, San Miguel, RM (Metropolitana)",560000.0,Gastos comunes aproximados $ 90.000,72 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días por Houm,Departamento Rivas Id: 41769,https://www.portalinmobiliario.com/MLC-1723948382-departamento-rivas-id-41769-_JM#position=49&search_layout=stack&type=item&tracking_id=8e4434d5-b0b8-42a8-aa88-cf8b71edfe41,-33.4787641,-70.6436071,Santiago,"(500000.0, 1000000.0]",4838,POINT (-70.6436071 -33.4787641),4838,14995,26.0,"['L2R', '506']","['29', 'PA450']","['70', 'PA452']","[1.6, 3.0]",13.6,4.6,1.3,"[1.9, 1.6]",27.6,7
"Esquina Jose Miguel Carrera, San José de La Estrella, La Florida, RM (Metropolitana)",540000.0,Gastos comunes aproximados $ 1,64 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días,"Arriendo Depto De 3 Dorm, 2 Baños.la Florida G.c Incluidos",https://www.portalinmobiliario.com/MLC-1391659125-arriendo-depto-de-3-dorm-2-banosla-florida-gc-incluidos-_JM#position=5&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.49669145,-70.653475085476,Santiago,"(500000.0, 1000000.0]",4842,POINT (-70.653475085476 -33.49669145),4842,14995,25.0,"['L2R', '509']","['53', 'PA450']","['70', 'PA452']","[7.0, 3.0]",4.7,4.6,1.3,"[2.8, 2.3]",25.8,1
"Irarrázaval 2150, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",550000.0,,3500 m² totales / 1 dormitorio / 1 baño,3,2023-06-13,Publicado hace 4 días,Grace Kelm Arrienda Dpto Nuevo  1d 1b Est Y Bod En Metro Ñuñ,https://www.portalinmobiliario.com/MLC-1727618306-grace-kelm-arrienda-dpto-nuevo-1d-1b-est-y-bod-en-metro-nun-_JM#position=21&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.4549221,-70.628254,Santiago,"(500000.0, 1000000.0]",4852,POINT (-70.628254 -33.4549221),4852,14995,21.0,['506'],['PD564'],['PA452'],[13.4],1.7,4.6,0.0,[2.7],22.3,17
"Crescente Errázuriz 291, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",600000.0,,48 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 1 día por Assetplan Chile,Edificio Crescente Errázuriz (1 Est. 1 Bod.) Vista Sur Pis,https://www.portalinmobiliario.com/MLC-1730828594-edificio-crescente-errazuriz-1-est-1-bod-vista-sur-pis-_JM#position=32&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.45740295172414,-70.62654111034483,Santiago,"(500000.0, 1000000.0]",4859,POINT (-70.62654111034483 -33.45740295172414),4859,14995,26.0,['506v'],['PD564'],['PA452'],[14.5],6.2,4.6,0.0,[2.0],27.2,6
"Estadio Nacional, Estadio Nacional, Ñuñoa, RM (Metropolitana)",540000.0,Gastos comunes aproximados $ 100.000,65 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Departamento En Arriendo De 2 Dorm. En Ñuñoa,https://www.portalinmobiliario.com/MLC-1392674649-departamento-en-arriendo-de-2-dorm-en-nunoa-_JM#position=42&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.4623786,-70.6062119,Santiago,"(500000.0, 1000000.0]",4868,POINT (-70.60621190000001 -33.4623786),4868,14995,25.0,['506e'],['PD582'],['PA452'],[19.4],2.6,4.6,0.0,[3.1],29.6,2
"Rosas 1200 - 1500, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",530000.0,Gastos comunes aproximados $ 60.000,52 m² totales / 2 dormitorios / 1 baño,3,2023-06-13,Publicado hace 2 días por Polaris Propiedades,"Stgo Centro * Para Estrenar, Nuevo!",https://www.portalinmobiliario.com/MLC-1392470953-stgo-centro-para-estrenar-nuevo-_JM#position=45&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.4367571,-70.6707266,Santiago,"(500000.0, 1000000.0]",4870,POINT (-70.67072659999999 -33.4367571),4870,14995,24.0,"['505', '119']","['PA430', 'PA271']","['PA297', 'PA276']","[1.7, 7.0]",9.5,4.3,2.0,"[1.0, 2.2]",27.7,1
"Avenida Irarrázabal, Barrio Diez de Julio, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 90.000,68 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,"Depto. 2 Dorm, 2 Baños, En Fray Camilo H, Santiago",https://www.portalinmobiliario.com/MLC-1730613634-depto-2-dorm-2-banos-en-fray-camilo-h-santiago-_JM#position=48&search_layout=stack&type=item&tracking_id=05def23c-2af5-4661-b45a-3cf8a31c4abe,-33.4597176,-70.6936957,Santiago,"(500000.0, 1000000.0]",4872,POINT (-70.69369570000001 -33.4597176),4872,14995,17.0,['506e'],['PI542'],['PA433'],[14.4],8.0,3.4,0.0,[2.9],28.6,2
"Santa Isabel 502, Lampa, RM (Metropolitana)",570000.0,,70 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días,Se Arrienda Hermoso Departamento En Santa Isabel,https://www.portalinmobiliario.com/MLC-1391688369-se-arrienda-hermoso-departamento-en-santa-isabel-_JM#position=22&search_layout=stack&type=item&tracking_id=0448856d-a252-4611-9f07-2cabbef18f66,-33.4503098,-70.64178692268624,Santiago,"(500000.0, 1000000.0]",4883,POINT (-70.64178692268624 -33.4503098),4883,14995,25.0,"['204', '506']","['PA118', 'PA445']","['PA121', 'PA452']","[3.3, 9.3]",1.4,4.6,1.3,"[2.0, 3.9]",25.7,19
"Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",580000.0,Gastos comunes aproximados $ 100.000,67 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,"Depto., De 2 Dorm. 2 Baños, Metro Irarrázaval, Ñuñoa",https://www.portalinmobiliario.com/MLC-1392723245-depto-de-2-dorm-2-banos-metro-irarrazaval-nunoa-_JM#position=29&search_layout=stack&type=item&tracking_id=0448856d-a252-4611-9f07-2cabbef18f66,-33.4528654,-70.6282039,Santiago,"(500000.0, 1000000.0]",4889,POINT (-70.6282039 -33.4528654),4889,14995,24.0,"['L3', '506e']","['35', 'PA446']","['116', 'PA452']","[1.9, 7.1]",2.8,4.6,2.1,"[2.7, 1.0]",22.3,7
"Carmen 121, Santa Isabel, Santiago, RM (Metropolitana)",550000.0,,6 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Departamento En Arriendo De 2 Dorm. En Santiago,https://www.portalinmobiliario.com/MLC-1733175758-departamento-en-arriendo-de-2-dorm-en-santiago-_JM#position=9&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.44486255625,-70.64290794374999,Santiago,"(500000.0, 1000000.0]",4905,POINT (-70.64290794374999 -33.44486255625),4905,14995,26.0,"['209', '506v']","['PA116', 'PA447']","['PA141', 'PA452']","[5.8, 7.6]",1.4,4.6,1.5,"[1.3, 1.2]",23.4,2
"Avenida Vicuña Mackenna, Vicente Valdés, La Florida, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 140.000,85 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Departamento En Arriendo De 3 Dorm. En La Florida,https://www.portalinmobiliario.com/MLC-1392724851-departamento-en-arriendo-de-3-dorm-en-la-florida-_JM#position=12&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.4368273,-70.6353329,Santiago,"(500000.0, 1000000.0]",4907,POINT (-70.63533289999999 -33.4368273),4907,14995,26.0,"['L5V', 'L2R', '506v']","['6', '4', 'PA450']","['4', '70', 'PA452']","[4.6, 4.4, 3.3]",3.6,4.6,1.3,"[1.8, 2.1, 1.0]",26.6,1
"Manuel Rodríguez Sur 308 - 1601, Dieciocho, Santiago, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 80.000,56 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Departamento En Arriendo // Barrio Brasil - Santiago Centro,https://www.portalinmobiliario.com/MLC-1730929006-departamento-en-arriendo-barrio-brasil-santiago-centro-_JM#position=22&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.4506652,-70.6588812,Santiago,"(500000.0, 1000000.0]",4912,POINT (-70.6588812 -33.4506652),4912,14995,21.0,['121'],['PA274'],['PA276'],[2.8],12.0,4.3,0.0,[2.1],21.1,13
"San Martin 840, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",550000.0,,72 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día por Unne,3 Dorm. Sector Metro Santa Ana - Santiago,https://www.portalinmobiliario.com/MLC-1730912924-3-dorm-sector-metro-santa-ana-santiago-_JM#position=23&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.4339316,-70.6590105,Santiago,"(500000.0, 1000000.0]",4913,POINT (-70.65901049999999 -33.4339316),4913,14995,21.0,['119'],['PA274'],['PA276'],[2.7],11.6,4.3,0.0,[1.4],19.9,1
"José Miguel Carrera, Trinidad, La Florida, RM (Metropolitana)",550000.0,Gastos comunes aproximados $ 75.000,63 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días por Houm,Departamento José Miguel Carrera Id: 109407,https://www.portalinmobiliario.com/MLC-1724797950-departamento-jose-miguel-carrera-id-109407-_JM#position=24&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.4480098,-70.6635854,Santiago,"(500000.0, 1000000.0]",4914,POINT (-70.6635854 -33.4480098),4914,14995,16.0,['121'],['PA273'],['PA276'],[4.3],4.8,4.3,0.0,[3.4],16.9,15
"Eyzaguirre 1140, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",600000.0,Gastos comunes aproximados $ 90.000,71 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 días,Se Arrienda Departamento 3 Dormitorios 2 Baños Est Y Bod,https://www.portalinmobiliario.com/MLC-1729173750-se-arrienda-departamento-3-dormitorios-2-banos-est-y-bod-_JM#position=25&search_layout=stack&type=item&tracking_id=cd321eb8-6eed-4cfc-8e3b-2418fab461d5,-33.4529097,-70.6506394,Santiago,"(500000.0, 1000000.0]",4915,POINT (-70.6506394 -33.4529097),4915,14995,22.0,"['271', '506v']","['PA55', 'PA449']","['PA57', 'PA452']","[2.7, 4.9]",5.2,4.6,1.2,"[1.9, 1.8]",22.2,1
